layer,pos_0_mean,pos_0_ci_lower,pos_0_ci_upper,pos_0_std_dev,pos_1_mean,pos_1_ci_lower,pos_1_ci_upper,pos_1_std_dev,pos_2_mean,pos_2_ci_lower,pos_2_ci_upper,pos_2_std_dev
0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
1,0.6885000000000001,0.6866200340428615,0.6903799659571387,0.0021447610589526824,0.7128,0.7057625354565724,0.7198374645434276,0.008028698524667616,0.6973,0.6940961343349011,0.7005038656650989,0.0036551333764993986
2,0.7514,0.7487938632422684,0.7540061367577315,0.002973213749463673,0.7895000000000001,0.7859394831835814,0.7930605168164188,0.004062019202317973,0.8448,0.8433704087297412,0.8462295912702588,0.0016309506430300133
3,0.7885,0.7836750548189643,0.7933249451810357,0.005504543577809144,0.805,0.8026643904435887,0.8073356095564114,0.002664582518894844,0.8652000000000001,0.8572597015673213,0.8731402984326788,0.0090586974781146
4,0.8362999999999999,0.8328871227388023,0.8397128772611976,0.0038935844667863525,0.8230999999999999,0.8208243733170838,0.8253756266829161,0.0025961509971494413,0.8821,0.877740156333078,0.886459843666922,0.004973932046178344
5,0.8352999999999999,0.8249523879469705,0.8456476120530294,0.011805083650698973,0.826,0.8231732478000362,0.8288267521999637,0.0032249030993194193,0.9017,0.9002975381645121,0.9031024618354878,0.0016000000000000168
6,0.8073,0.80182180876566,0.81277819123434,0.006249799996799873,0.8238,0.8171383062814326,0.8304616937185674,0.007599999999999967,0.8968999999999999,0.8915942253346,0.9022057746653999,0.006053098380168623
7,0.8065,0.7952919528908913,0.8177080471091087,0.012786711852544423,0.8164,0.8155501642511638,0.8172498357488363,0.000969535971483246,0.8926999999999999,0.8914117565447478,0.8939882434552521,0.0014696938456699082
8,0.8177999999999999,0.812844648630016,0.8227553513699837,0.005653317610041038,0.7964,0.7931390877350042,0.7996609122649958,0.00372021504754766,0.9003,0.8970016047538234,0.9035983952461766,0.003762977544445359
9,0.8149000000000001,0.8091964336770755,0.8206035663229246,0.006506919393998959,0.7885000000000001,0.7778436546602506,0.7991563453397496,0.01215730233234331,0.9016000000000002,0.8981893747200845,0.9050106252799158,0.0038910152916687506
10,0.8229,0.8193351700180793,0.8264648299819206,0.004066939881532576,0.7963000000000001,0.792809218540212,0.7997907814597882,0.003982461550347963,0.9051,0.9030744559249426,0.9071255440750574,0.0023108440016582697
11,0.8066000000000001,0.8007435672291062,0.812456432770894,0.006681317235396028,0.8013,0.7997173682677262,0.8028826317322738,0.0018055470085267767,0.8993,0.8977173682677262,0.9008826317322738,0.0018055470085267767
12,0.7979,0.7962742629978992,0.799525737002101,0.001854723699099151,0.7918000000000001,0.7899078131170522,0.793692186882948,0.0021587033144923108,0.8926999999999999,0.8916408743228492,0.8937591256771507,0.0012083045973594361
13,0.8036999999999999,0.7985619580383184,0.8088380419616813,0.005861740355901103,0.7998000000000001,0.7974059099432144,0.8021940900567858,0.00273130005674955,0.8876,0.8844468966398165,0.8907531033601834,0.0035972211497210123
14,0.8058,0.8038282750698943,0.8077717249301056,0.0022494443758403985,0.8098000000000001,0.8033076941538465,0.8162923058461536,0.007406753674856463,0.8938,0.8922173682677262,0.8953826317322738,0.0018055470085267717
15,0.813,0.8119264637872898,0.8140735362127101,0.001224744871391563,0.8051,0.8037030272729935,0.8064969727270066,0.0015937377450509368,0.9079,0.9063970493022059,0.9094029506977942,0.0017146428199482403
16,0.8206999999999999,0.8177586936235746,0.8236413063764252,0.0033555923471125047,0.8139,0.8100253422344676,0.8177746577655323,0.00442040722106004,0.9099,0.9077999626669986,0.9120000373330015,0.0023958297101422
17,0.8245999999999999,0.8202401563330779,0.8289598436669219,0.004973932046178339,0.8148,0.8130122049334445,0.8165877950665554,0.002039607805437104,0.9196,0.9173755942816113,0.9218244057183886,0.0025377155080899255
18,0.8378,0.8353269801456519,0.8402730198543481,0.002821347195933198,0.8245999999999999,0.8216482634263876,0.8275517365736121,0.0033674916480965432,0.9250999999999999,0.9240853331581252,0.9261146668418746,0.0011575836902790407
19,0.8642999999999998,0.8620721429130215,0.8665278570869782,0.0025416530054277455,0.836,0.8318054168264296,0.8401945831735703,0.004785394445602154,0.931,0.928648,0.9333520000000001,0.00268328157299975
20,0.8644000000000001,0.8615814136876796,0.8672185863123205,0.003215587038162733,0.8353999999999999,0.8311926144935363,0.8396073855064635,0.004800000000000004,0.9349999999999999,0.9314829057447944,0.9385170942552055,0.004012480529547758
21,0.8693,0.865909709864923,0.8726902901350769,0.003867815921162747,0.8387,0.834754602276069,0.842645397723931,0.0045011109739707695,0.9410999999999999,0.9385384667091758,0.943661533290824,0.0029223278392404785
22,0.9215,0.9178753245662542,0.9251246754337458,0.004135214625627062,0.8839,0.8826480523972626,0.8851519476027374,0.0014282856857085744,0.9433,0.9404651054340594,0.9461348945659407,0.0032341923257592576
23,0.9181000000000001,0.914146820418954,0.9220531795810463,0.004509988913511869,0.8977999999999999,0.8951183074001667,0.9004816925998331,0.0030594117081556675,0.9648999999999999,0.9616627349815005,0.9681372650184993,0.0036932370625238796
24,0.9407,0.9390695438675021,0.9423304561324979,0.0018601075237738194,0.9469999999999998,0.9437438034457359,0.9502561965542637,0.003714835124201345,0.9926999999999999,0.9911919458895648,0.994208054110435,0.0017204650534085267
25,0.9429000000000001,0.9367617255844987,0.9490382744155015,0.007002856560004609,0.9519,0.9493838607351738,0.9544161392648262,0.0028705400188814676,0.9921,0.9912966390599488,0.9929033609400512,0.0009165151389911494
26,0.9281,0.9255535081386347,0.9306464918613654,0.0029051678092668065,0.9518000000000001,0.9473684924461309,0.9562315075538693,0.005055689863905808,0.9921,0.9904048549324614,0.9937951450675385,0.0019339079605813975
27,0.9216000000000001,0.9131451497470388,0.9300548502529614,0.009645724441430005,0.9480000000000001,0.9426754335387753,0.9533245664612249,0.006074537019395,0.9887,0.987935851323367,0.989464148676633,0.0008717797887081202
28,0.9103000000000001,0.9024914229721416,0.9181085770278586,0.008908422980528026,0.9400000000000001,0.9377652561668057,0.9422347438331944,0.002549509756796395,0.9865,0.9855806785110747,0.9874193214889254,0.0010488088481701633
