layer,pos_0_mean,pos_0_ci_lower,pos_0_ci_upper,pos_0_std_dev,pos_1_mean,pos_1_ci_lower,pos_1_ci_upper,pos_1_std_dev,pos_2_mean,pos_2_ci_lower,pos_2_ci_upper,pos_2_std_dev
0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
1,0.6346999999999999,0.6018226723227084,0.6675773276772915,0.03750813245150976,0.5690000000000001,0.515996584261012,0.6220034157389881,0.06046900032247929,0.7573000000000001,0.7201089289855751,0.7944910710144251,0.04242947088993687
2,0.7542,0.7462307258046921,0.7621692741953079,0.009091754506144563,0.7345,0.7184041153085642,0.7505958846914359,0.01836300628982087,0.8478,0.843107447261884,0.852492552738116,0.005353503525729687
3,0.6899,0.6607027094955713,0.7190972905044286,0.03330975832995488,0.7285999999999999,0.7174214685758816,0.7397785314241182,0.01275303885354389,0.8808,0.8782354690097408,0.8833645309902592,0.0029257477676655616
4,0.6975,0.6839973211546745,0.7110026788453255,0.015404544783926603,0.755,0.7501433114162014,0.7598566885837986,0.0055407580708780385,0.8808,0.8764915651101589,0.8851084348898411,0.004915282290977779
5,0.7516,0.7482461656570427,0.7549538343429574,0.0038262252939417697,0.7967000000000001,0.7872650884900811,0.806134911509919,0.010763828315241744,0.9099999999999999,0.905916797335424,0.9140832026645759,0.0046583258795408365
6,0.7346,0.7328601204639401,0.73633987953606,0.0019849433241279383,0.8016,0.7961938097702725,0.8070061902297274,0.006167657578043724,0.9022,0.9003282256546261,0.9040717743453739,0.0021354156504062643
7,0.7288,0.7270122049334445,0.7305877950665555,0.002039607805437116,0.7847000000000001,0.7716822943957087,0.7977177056042914,0.01485126257258959,0.893,0.8921684424253247,0.8938315575746754,0.0009486832980504913
8,0.7218,0.7187059303175268,0.7248940696824732,0.0035298725189445404,0.7695000000000001,0.7618736100283293,0.7771263899716708,0.00870057469366249,0.8854,0.884464112827313,0.886335887172687,0.0010677078252031404
9,0.7116,0.6957169842662043,0.7274830157337957,0.01812015452472743,0.739,0.7339494332991238,0.7440505667008762,0.005761944116355179,0.8657,0.8643534357794743,0.8670465642205257,0.0015362291495737287
10,0.7015,0.691073242114636,0.711926757885364,0.011895377253370322,0.7243,0.7215898082724649,0.7270101917275352,0.0030919249667480755,0.8583999999999999,0.8546156262341041,0.8621843737658957,0.0043174066289845825
11,0.7047999999999999,0.687228515281855,0.7223714847181447,0.02004644606906669,0.7116999999999999,0.7054120951661145,0.7179879048338853,0.007173562573784389,0.8530999999999999,0.8502408174594823,0.8559591825405174,0.0032619012860600326
12,0.6980999999999999,0.6871296014293007,0.7090703985706992,0.012515590277729607,0.7024,0.6949809404369557,0.7098190595630444,0.008464041587799558,0.8480000000000001,0.8431512277842738,0.8528487722157264,0.005531726674375737
13,0.7116,0.7040424270562567,0.7191575729437433,0.008622064717919957,0.7005999999999999,0.6956929490730174,0.7055070509269824,0.00559821400091137,0.8502000000000001,0.847338131519444,0.8530618684805561,0.0032649655434629304
14,0.7208,0.709047842615077,0.732552157384923,0.0134074606096755,0.7102,0.7046244975831769,0.7157755024168232,0.006360817557515717,0.8263,0.8232059303175268,0.8293940696824733,0.003529872518944563
15,0.8487,0.841136329779796,0.856263670220204,0.008629020801921877,0.8193999999999999,0.8135108604363624,0.8252891395636374,0.006718630812896315,0.9169,0.9145578205021818,0.9192421794978183,0.002672077843177468
16,0.8229,0.8195119768595831,0.8262880231404168,0.003865229618017552,0.7956,0.7927950763290242,0.7984049236709757,0.0032000000000000145,0.9195,0.9164009678930349,0.922599032106965,0.003535533905932747
17,0.9625,0.9584356574947478,0.9665643425052522,0.0046368092477478634,0.9408999999999998,0.9395030272729933,0.9422969727270064,0.0015937377450509365,0.9724999999999999,0.9710073084712506,0.9739926915287492,0.0017029386365926286
18,0.9904999999999999,0.9888837425947579,0.992116257405242,0.001843908891458579,0.9658,0.9642173682677262,0.9673826317322738,0.0018055470085267767,0.9907,0.9903493845411281,0.991050615458872,0.0003999999999999948
