seed,layer,hundreds,tens,ones
42,0,0.18,0.12,0.09
42,1,0.18,0.12,0.09
42,2,0.18,0.12,0.09
42,3,0.18,0.12,0.09
42,4,0.18,0.12,0.09
42,5,0.18,0.12,0.09
42,6,0.18,0.12,0.09
42,7,0.18,0.12,0.09
42,8,0.18,0.12,0.2
42,9,0.18,0.12,0.08
42,10,0.18,0.12,0.09
42,11,0.18,0.12,0.2
42,12,0.18,0.12,0.09
42,13,0.18,0.12,0.07
42,14,0.18,0.12,0.09
42,15,0.18,0.12,0.1
42,16,0.21,0.16,0.13
42,17,0.21,0.14,0.09
42,18,0.62,0.11,0.08
42,19,0.65,0.19,0.11
42,20,0.6,0.09,0.16
42,21,0.83,0.18,0.11
42,22,0.81,0.23,0.12
42,23,0.89,0.21,0.11
42,24,0.9,0.23,0.1
42,25,0.92,0.21,0.09
42,26,0.91,0.19,0.1
42,27,0.9,0.17,0.09
42,28,0.93,0.19,0.09
42,29,0.97,0.26,0.06
42,30,0.96,0.24,0.06
42,31,0.96,0.27,0.09
42,32,0.96,0.24,0.08
43,0,0.24,0.14,0.07
43,1,0.29,0.14,0.07
43,2,0.29,0.14,0.07
43,3,0.29,0.15,0.14
43,4,0.29,0.14,0.07
43,5,0.29,0.08,0.07
43,6,0.29,0.14,0.07
43,7,0.29,0.14,0.06
43,8,0.29,0.14,0.13
43,9,0.29,0.08,0.13
43,10,0.29,0.09,0.07
43,11,0.29,0.08,0.07
43,12,0.29,0.13,0.08
43,13,0.29,0.05,0.07
43,14,0.29,0.1,0.05
43,15,0.22,0.15,0.13
43,16,0.29,0.16,0.08
43,17,0.33,0.08,0.11
43,18,0.61,0.08,0.06
43,19,0.69,0.1,0.08
43,20,0.67,0.1,0.06
43,21,0.78,0.18,0.1
43,22,0.8,0.16,0.05
43,23,0.94,0.21,0.05
43,24,0.93,0.2,0.08
43,25,0.93,0.25,0.06
43,26,0.94,0.28,0.07
43,27,0.92,0.35,0.05
43,28,0.95,0.2,0.07
43,29,0.97,0.29,0.05
43,30,0.95,0.37,0.08
43,31,0.95,0.32,0.13
43,32,0.94,0.42,0.08
44,0,0.12,0.16,0.08
44,1,0.21,0.16,0.08
44,2,0.21,0.16,0.08
44,3,0.21,0.16,0.08
44,4,0.21,0.16,0.08
44,5,0.21,0.16,0.08
44,6,0.21,0.16,0.08
44,7,0.21,0.16,0.08
44,8,0.21,0.06,0.08
44,9,0.21,0.08,0.11
44,10,0.21,0.15,0.1
44,11,0.21,0.11,0.08
44,12,0.21,0.16,0.12
44,13,0.21,0.16,0.13
44,14,0.21,0.16,0.15
44,15,0.23,0.07,0.13
44,16,0.24,0.14,0.11
44,17,0.25,0.1,0.18
44,18,0.63,0.13,0.16
44,19,0.6,0.19,0.15
44,20,0.67,0.18,0.12
44,21,0.75,0.22,0.13
44,22,0.8,0.22,0.09
44,23,0.89,0.29,0.08
44,24,0.91,0.35,0.1
44,25,0.91,0.27,0.12
44,26,0.91,0.36,0.08
44,27,0.93,0.32,0.09
44,28,0.94,0.22,0.12
44,29,0.94,0.34,0.07
44,30,0.94,0.33,0.12
44,31,0.93,0.34,0.12
44,32,0.93,0.27,0.18
45,0,0.19,0.07,0.11
45,1,0.21,0.13,0.11
45,2,0.21,0.07,0.11
45,3,0.21,0.07,0.11
45,4,0.21,0.07,0.11
45,5,0.21,0.07,0.11
45,6,0.21,0.07,0.11
45,7,0.21,0.07,0.06
45,8,0.21,0.13,0.11
45,9,0.21,0.07,0.11
45,10,0.21,0.08,0.11
45,11,0.21,0.07,0.11
45,12,0.21,0.14,0.11
45,13,0.21,0.13,0.1
45,14,0.21,0.07,0.05
45,15,0.21,0.07,0.14
45,16,0.21,0.09,0.12
45,17,0.32,0.09,0.12
45,18,0.47,0.09,0.09
45,19,0.71,0.09,0.11
45,20,0.67,0.1,0.15
45,21,0.73,0.19,0.11
45,22,0.86,0.25,0.12
45,23,0.87,0.23,0.09
45,24,0.91,0.19,0.12
45,25,0.91,0.19,0.1
45,26,0.94,0.15,0.13
45,27,0.93,0.19,0.09
45,28,0.96,0.26,0.13
45,29,0.96,0.27,0.14
45,30,0.96,0.24,0.14
45,31,0.95,0.28,0.12
45,32,0.95,0.25,0.09
46,0,0.28,0.14,0.07
46,1,0.23,0.14,0.07
46,2,0.3,0.14,0.07
46,3,0.28,0.14,0.07
46,4,0.28,0.14,0.07
46,5,0.28,0.14,0.07
46,6,0.28,0.03,0.07
46,7,0.23,0.14,0.08
46,8,0.28,0.04,0.07
46,9,0.28,0.04,0.06
46,10,0.34,0.03,0.1
46,11,0.28,0.14,0.12
46,12,0.28,0.13,0.1
46,13,0.36,0.15,0.1
46,14,0.31,0.04,0.07
46,15,0.36,0.15,0.09
46,16,0.35,0.13,0.07
46,17,0.37,0.08,0.12
46,18,0.65,0.16,0.14
46,19,0.67,0.15,0.09
46,20,0.73,0.17,0.06
46,21,0.79,0.23,0.12
46,22,0.85,0.25,0.16
46,23,0.9,0.24,0.13
46,24,0.95,0.27,0.16
46,25,0.96,0.27,0.13
46,26,0.96,0.3,0.1
46,27,0.94,0.32,0.17
46,28,0.95,0.31,0.07
46,29,0.96,0.39,0.16
46,30,0.97,0.38,0.09
46,31,0.95,0.38,0.08
46,32,0.97,0.4,0.11
