seed,layer,hundreds,tens,ones
42,0,0.18,0.12,0.09
42,1,0.18,0.13,0.06
42,2,0.2,0.08,0.09
42,3,0.19,0.14,0.04
42,4,0.22,0.09,0.07
42,5,0.2,0.11,0.16
42,6,0.27,0.11,0.12
42,7,0.29,0.12,0.04
42,8,0.27,0.1,0.11
42,9,0.28,0.11,0.11
42,10,0.29,0.11,0.13
42,11,0.25,0.09,0.12
42,12,0.25,0.1,0.14
42,13,0.27,0.14,0.08
42,14,0.24,0.08,0.17
42,15,0.21,0.08,0.14
42,16,0.33,0.14,0.21
42,17,0.29,0.1,0.16
42,18,0.25,0.14,0.18
42,19,0.34,0.14,0.27
42,20,0.31,0.15,0.24
42,21,0.37,0.11,0.26
42,22,0.25,0.13,0.15
42,23,0.63,0.11,0.17
42,24,0.88,0.39,0.18
42,25,0.93,0.57,0.25
42,26,0.98,0.59,0.18
42,27,0.95,0.54,0.1
42,28,0.98,0.33,0.12
43,0,0.24,0.14,0.07
43,1,0.29,0.08,0.06
43,2,0.24,0.17,0.07
43,3,0.29,0.11,0.07
43,4,0.29,0.11,0.09
43,5,0.24,0.07,0.11
43,6,0.32,0.16,0.06
43,7,0.23,0.12,0.15
43,8,0.31,0.1,0.1
43,9,0.3,0.06,0.16
43,10,0.34,0.09,0.14
43,11,0.36,0.12,0.16
43,12,0.43,0.18,0.2
43,13,0.33,0.16,0.09
43,14,0.39,0.04,0.14
43,15,0.31,0.09,0.14
43,16,0.42,0.09,0.18
43,17,0.33,0.14,0.28
43,18,0.3,0.15,0.09
43,19,0.39,0.11,0.36
43,20,0.32,0.16,0.3
43,21,0.27,0.09,0.32
43,22,0.41,0.13,0.29
43,23,0.5,0.14,0.28
43,24,0.89,0.38,0.21
43,25,0.93,0.5,0.2
43,26,0.97,0.51,0.2
43,27,0.99,0.58,0.13
43,28,1.0,0.47,0.1
44,0,0.21,0.16,0.08
44,1,0.21,0.11,0.06
44,2,0.21,0.07,0.08
44,3,0.24,0.16,0.12
44,4,0.3,0.09,0.04
44,5,0.32,0.13,0.08
44,6,0.25,0.08,0.13
44,7,0.21,0.1,0.07
44,8,0.18,0.13,0.17
44,9,0.23,0.13,0.16
44,10,0.38,0.06,0.12
44,11,0.27,0.13,0.11
44,12,0.25,0.16,0.1
44,13,0.27,0.15,0.15
44,14,0.27,0.1,0.13
44,15,0.24,0.09,0.11
44,16,0.33,0.11,0.16
44,17,0.32,0.03,0.23
44,18,0.27,0.11,0.16
44,19,0.26,0.16,0.3
44,20,0.31,0.12,0.21
44,21,0.34,0.16,0.33
44,22,0.55,0.14,0.27
44,23,0.58,0.14,0.21
44,24,0.92,0.51,0.25
44,25,0.91,0.47,0.22
44,26,0.99,0.63,0.13
44,27,1.0,0.57,0.17
44,28,1.0,0.42,0.15
45,0,0.21,0.07,0.11
45,1,0.21,0.13,0.14
45,2,0.22,0.13,0.06
45,3,0.26,0.13,0.15
45,4,0.23,0.12,0.12
45,5,0.21,0.13,0.08
45,6,0.22,0.08,0.09
45,7,0.23,0.08,0.15
45,8,0.25,0.07,0.08
45,9,0.41,0.11,0.1
45,10,0.38,0.13,0.12
45,11,0.27,0.13,0.17
45,12,0.28,0.17,0.22
45,13,0.25,0.12,0.19
45,14,0.32,0.12,0.19
45,15,0.38,0.15,0.13
45,16,0.27,0.09,0.13
45,17,0.3,0.1,0.23
45,18,0.24,0.12,0.19
45,19,0.33,0.11,0.34
45,20,0.4,0.1,0.28
45,21,0.32,0.14,0.29
45,22,0.44,0.22,0.25
45,23,0.55,0.12,0.27
45,24,0.84,0.5,0.18
45,25,0.93,0.58,0.2
45,26,0.98,0.55,0.14
45,27,0.98,0.49,0.17
45,28,0.97,0.48,0.1
46,0,0.28,0.14,0.07
46,1,0.32,0.08,0.16
46,2,0.28,0.14,0.06
46,3,0.28,0.1,0.13
46,4,0.25,0.07,0.09
46,5,0.27,0.13,0.09
46,6,0.25,0.13,0.07
46,7,0.32,0.13,0.13
46,8,0.31,0.03,0.11
46,9,0.25,0.13,0.07
46,10,0.35,0.08,0.17
46,11,0.25,0.08,0.16
46,12,0.28,0.14,0.11
46,13,0.32,0.11,0.11
46,14,0.32,0.18,0.11
46,15,0.29,0.11,0.14
46,16,0.33,0.09,0.13
46,17,0.25,0.15,0.12
46,18,0.25,0.08,0.12
46,19,0.3,0.14,0.24
46,20,0.49,0.13,0.32
46,21,0.28,0.17,0.13
46,22,0.39,0.11,0.21
46,23,0.54,0.11,0.21
46,24,0.94,0.38,0.23
46,25,0.97,0.54,0.17
46,26,0.98,0.52,0.22
46,27,0.99,0.48,0.14
46,28,0.98,0.38,0.14
