seed,layer,hundreds,tens,ones,model,depth_norm
42,0,0.18,0.12,0.09,AceMath,0.0
42,1,0.18,0.12,0.04,AceMath,0.03571428571428571
42,2,0.24,0.09,0.08,AceMath,0.07142857142857142
42,3,0.2,0.12,0.04,AceMath,0.10714285714285714
42,4,0.23,0.09,0.2,AceMath,0.14285714285714285
42,5,0.24,0.14,0.1,AceMath,0.17857142857142858
42,6,0.21,0.13,0.11,AceMath,0.21428571428571427
42,7,0.26,0.11,0.04,AceMath,0.25
42,8,0.21,0.11,0.09,AceMath,0.2857142857142857
42,9,0.23,0.13,0.09,AceMath,0.32142857142857145
42,10,0.33,0.11,0.15,AceMath,0.35714285714285715
42,11,0.24,0.1,0.13,AceMath,0.39285714285714285
42,12,0.34,0.12,0.13,AceMath,0.42857142857142855
42,13,0.27,0.17,0.12,AceMath,0.4642857142857143
42,14,0.25,0.09,0.12,AceMath,0.5
42,15,0.27,0.1,0.07,AceMath,0.5357142857142857
42,16,0.28,0.12,0.14,AceMath,0.5714285714285714
42,17,0.24,0.09,0.2,AceMath,0.6071428571428571
42,18,0.28,0.09,0.21,AceMath,0.6428571428571429
42,19,0.3,0.12,0.27,AceMath,0.6785714285714286
42,20,0.34,0.11,0.19,AceMath,0.7142857142857143
42,21,0.18,0.11,0.23,AceMath,0.75
42,22,0.34,0.14,0.15,AceMath,0.7857142857142857
42,23,0.52,0.17,0.17,AceMath,0.8214285714285714
42,24,0.9,0.41,0.23,AceMath,0.8571428571428571
42,25,0.93,0.62,0.17,AceMath,0.8928571428571429
42,26,0.99,0.57,0.16,AceMath,0.9285714285714286
42,27,0.98,0.51,0.14,AceMath,0.9642857142857143
42,28,0.99,0.47,0.16,AceMath,1.0
43,0,0.24,0.14,0.07,AceMath,0.0
43,1,0.29,0.08,0.06,AceMath,0.03571428571428571
43,2,0.24,0.14,0.08,AceMath,0.07142857142857142
43,3,0.29,0.15,0.06,AceMath,0.10714285714285714
43,4,0.29,0.05,0.1,AceMath,0.14285714285714285
43,5,0.29,0.07,0.14,AceMath,0.17857142857142858
43,6,0.3,0.09,0.08,AceMath,0.21428571428571427
43,7,0.31,0.12,0.06,AceMath,0.25
43,8,0.3,0.07,0.07,AceMath,0.2857142857142857
43,9,0.25,0.09,0.15,AceMath,0.32142857142857145
43,10,0.28,0.13,0.16,AceMath,0.35714285714285715
43,11,0.26,0.07,0.11,AceMath,0.39285714285714285
43,12,0.35,0.14,0.14,AceMath,0.42857142857142855
43,13,0.36,0.13,0.1,AceMath,0.4642857142857143
43,14,0.26,0.11,0.07,AceMath,0.5
43,15,0.34,0.11,0.09,AceMath,0.5357142857142857
43,16,0.28,0.12,0.15,AceMath,0.5714285714285714
43,17,0.36,0.09,0.29,AceMath,0.6071428571428571
43,18,0.26,0.14,0.08,AceMath,0.6428571428571429
43,19,0.18,0.18,0.33,AceMath,0.6785714285714286
43,20,0.33,0.14,0.33,AceMath,0.7142857142857143
43,21,0.18,0.1,0.34,AceMath,0.75
43,22,0.35,0.16,0.27,AceMath,0.7857142857142857
43,23,0.54,0.09,0.3,AceMath,0.8214285714285714
43,24,0.91,0.49,0.17,AceMath,0.8571428571428571
43,25,0.95,0.47,0.11,AceMath,0.8928571428571429
43,26,1.0,0.56,0.11,AceMath,0.9285714285714286
43,27,0.99,0.54,0.2,AceMath,0.9642857142857143
43,28,1.0,0.54,0.17,AceMath,1.0
44,0,0.21,0.16,0.08,AceMath,0.0
44,1,0.21,0.08,0.07,AceMath,0.03571428571428571
44,2,0.21,0.11,0.12,AceMath,0.07142857142857142
44,3,0.23,0.16,0.12,AceMath,0.10714285714285714
44,4,0.3,0.08,0.12,AceMath,0.14285714285714285
44,5,0.31,0.14,0.06,AceMath,0.17857142857142858
44,6,0.28,0.09,0.13,AceMath,0.21428571428571427
44,7,0.15,0.15,0.13,AceMath,0.25
44,8,0.24,0.06,0.09,AceMath,0.2857142857142857
44,9,0.27,0.14,0.1,AceMath,0.32142857142857145
44,10,0.13,0.09,0.22,AceMath,0.35714285714285715
44,11,0.38,0.12,0.18,AceMath,0.39285714285714285
44,12,0.18,0.1,0.1,AceMath,0.42857142857142855
44,13,0.32,0.1,0.15,AceMath,0.4642857142857143
44,14,0.34,0.12,0.16,AceMath,0.5
44,15,0.26,0.1,0.09,AceMath,0.5357142857142857
44,16,0.17,0.17,0.16,AceMath,0.5714285714285714
44,17,0.33,0.16,0.23,AceMath,0.6071428571428571
44,18,0.32,0.09,0.23,AceMath,0.6428571428571429
44,19,0.23,0.09,0.3,AceMath,0.6785714285714286
44,20,0.33,0.12,0.28,AceMath,0.7142857142857143
44,21,0.31,0.11,0.3,AceMath,0.75
44,22,0.36,0.16,0.23,AceMath,0.7857142857142857
44,23,0.51,0.09,0.27,AceMath,0.8214285714285714
44,24,0.91,0.45,0.16,AceMath,0.8571428571428571
44,25,0.94,0.43,0.16,AceMath,0.8928571428571429
44,26,0.98,0.56,0.13,AceMath,0.9285714285714286
44,27,0.99,0.56,0.17,AceMath,0.9642857142857143
44,28,0.99,0.56,0.12,AceMath,1.0
45,0,0.21,0.07,0.11,AceMath,0.0
45,1,0.21,0.13,0.11,AceMath,0.03571428571428571
45,2,0.22,0.12,0.07,AceMath,0.07142857142857142
45,3,0.22,0.12,0.11,AceMath,0.10714285714285714
45,4,0.22,0.13,0.13,AceMath,0.14285714285714285
45,5,0.31,0.07,0.18,AceMath,0.17857142857142858
45,6,0.13,0.14,0.07,AceMath,0.21428571428571427
45,7,0.27,0.08,0.16,AceMath,0.25
45,8,0.23,0.07,0.12,AceMath,0.2857142857142857
45,9,0.24,0.12,0.07,AceMath,0.32142857142857145
45,10,0.26,0.11,0.14,AceMath,0.35714285714285715
45,11,0.23,0.12,0.15,AceMath,0.39285714285714285
45,12,0.35,0.11,0.19,AceMath,0.42857142857142855
45,13,0.29,0.1,0.15,AceMath,0.4642857142857143
45,14,0.33,0.07,0.13,AceMath,0.5
45,15,0.28,0.15,0.12,AceMath,0.5357142857142857
45,16,0.28,0.12,0.17,AceMath,0.5714285714285714
45,17,0.24,0.07,0.16,AceMath,0.6071428571428571
45,18,0.3,0.08,0.2,AceMath,0.6428571428571429
45,19,0.31,0.12,0.32,AceMath,0.6785714285714286
45,20,0.33,0.1,0.31,AceMath,0.7142857142857143
45,21,0.31,0.09,0.23,AceMath,0.75
45,22,0.35,0.12,0.2,AceMath,0.7857142857142857
45,23,0.51,0.16,0.28,AceMath,0.8214285714285714
45,24,0.91,0.47,0.24,AceMath,0.8571428571428571
45,25,0.96,0.51,0.21,AceMath,0.8928571428571429
45,26,0.97,0.5,0.18,AceMath,0.9285714285714286
45,27,0.99,0.47,0.15,AceMath,0.9642857142857143
45,28,0.98,0.41,0.16,AceMath,1.0
46,0,0.28,0.14,0.07,AceMath,0.0
46,1,0.18,0.16,0.07,AceMath,0.03571428571428571
46,2,0.23,0.03,0.11,AceMath,0.07142857142857142
46,3,0.24,0.08,0.07,AceMath,0.10714285714285714
46,4,0.29,0.1,0.09,AceMath,0.14285714285714285
46,5,0.33,0.04,0.08,AceMath,0.17857142857142858
46,6,0.25,0.06,0.08,AceMath,0.21428571428571427
46,7,0.3,0.12,0.13,AceMath,0.25
46,8,0.29,0.08,0.08,AceMath,0.2857142857142857
46,9,0.29,0.13,0.11,AceMath,0.32142857142857145
46,10,0.32,0.09,0.21,AceMath,0.35714285714285715
46,11,0.31,0.13,0.11,AceMath,0.39285714285714285
46,12,0.36,0.15,0.16,AceMath,0.42857142857142855
46,13,0.3,0.16,0.14,AceMath,0.4642857142857143
46,14,0.33,0.06,0.1,AceMath,0.5
46,15,0.33,0.11,0.11,AceMath,0.5357142857142857
46,16,0.31,0.03,0.08,AceMath,0.5714285714285714
46,17,0.29,0.05,0.23,AceMath,0.6071428571428571
46,18,0.25,0.13,0.18,AceMath,0.6428571428571429
46,19,0.27,0.13,0.32,AceMath,0.6785714285714286
46,20,0.32,0.06,0.29,AceMath,0.7142857142857143
46,21,0.2,0.09,0.17,AceMath,0.75
46,22,0.32,0.19,0.26,AceMath,0.7857142857142857
46,23,0.62,0.13,0.23,AceMath,0.8214285714285714
46,24,0.89,0.41,0.23,AceMath,0.8571428571428571
46,25,0.96,0.56,0.2,AceMath,0.8928571428571429
46,26,0.98,0.51,0.13,AceMath,0.9285714285714286
46,27,0.97,0.54,0.12,AceMath,0.9642857142857143
46,28,0.97,0.48,0.15,AceMath,1.0
