seed,layer,hundreds,tens,ones
42,0,0.18,0.12,0.09
42,1,0.18,0.12,0.09
42,2,0.18,0.12,0.12
42,3,0.18,0.12,0.09
42,4,0.18,0.12,0.09
42,5,0.18,0.12,0.09
42,6,0.18,0.12,0.04
42,7,0.21,0.12,0.2
42,8,0.18,0.12,0.1
42,9,0.18,0.12,0.04
42,10,0.18,0.12,0.21
42,11,0.18,0.12,0.21
42,12,0.18,0.09,0.12
42,13,0.18,0.12,0.09
42,14,0.18,0.12,0.2
42,15,0.22,0.12,0.09
42,16,0.28,0.14,0.09
42,17,0.45,0.33,0.26
42,18,0.52,0.4,0.56
42,19,0.84,0.78,1.0
42,20,0.89,0.83,1.0
42,21,0.92,0.97,1.0
42,22,0.91,0.96,1.0
42,23,0.93,0.99,1.0
42,24,0.92,0.97,1.0
42,25,0.98,0.99,1.0
42,26,0.99,0.98,1.0
42,27,0.96,0.98,1.0
42,28,0.99,0.99,1.0
42,29,0.98,0.99,1.0
42,30,0.98,0.99,1.0
42,31,0.98,0.99,1.0
42,32,0.98,1.0,1.0
43,0,0.29,0.1,0.07
43,1,0.29,0.14,0.07
43,2,0.29,0.14,0.07
43,3,0.29,0.12,0.07
43,4,0.29,0.14,0.14
43,5,0.29,0.14,0.13
43,6,0.29,0.14,0.08
43,7,0.29,0.14,0.13
43,8,0.29,0.08,0.13
43,9,0.29,0.14,0.07
43,10,0.29,0.1,0.14
43,11,0.29,0.09,0.13
43,12,0.29,0.1,0.12
43,13,0.29,0.11,0.09
43,14,0.29,0.13,0.1
43,15,0.31,0.16,0.08
43,16,0.25,0.08,0.06
43,17,0.48,0.37,0.18
43,18,0.57,0.44,0.59
43,19,0.86,0.72,1.0
43,20,0.87,0.81,1.0
43,21,0.94,0.93,1.0
43,22,0.93,0.94,1.0
43,23,0.9,0.93,1.0
43,24,0.92,0.95,1.0
43,25,0.91,0.93,1.0
43,26,0.96,0.99,1.0
43,27,0.95,0.98,1.0
43,28,0.98,1.0,1.0
43,29,0.98,1.0,1.0
43,30,0.99,1.0,1.0
43,31,0.98,1.0,1.0
43,32,0.98,1.0,1.0
44,0,0.21,0.16,0.08
44,1,0.21,0.16,0.08
44,2,0.21,0.16,0.08
44,3,0.21,0.16,0.08
44,4,0.21,0.16,0.08
44,5,0.21,0.15,0.08
44,6,0.21,0.11,0.15
44,7,0.21,0.08,0.11
44,8,0.21,0.16,0.18
44,9,0.21,0.12,0.17
44,10,0.24,0.12,0.09
44,11,0.21,0.09,0.13
44,12,0.21,0.16,0.12
44,13,0.21,0.16,0.14
44,14,0.21,0.16,0.1
44,15,0.21,0.14,0.11
44,16,0.24,0.16,0.17
44,17,0.37,0.2,0.31
44,18,0.4,0.42,0.67
44,19,0.81,0.8,1.0
44,20,0.89,0.8,1.0
44,21,0.95,0.95,1.0
44,22,0.94,0.95,1.0
44,23,0.95,0.94,1.0
44,24,0.96,0.97,1.0
44,25,0.98,0.98,1.0
44,26,0.98,0.99,1.0
44,27,0.98,0.99,1.0
44,28,0.99,1.0,1.0
44,29,0.98,1.0,1.0
44,30,0.99,1.0,1.0
44,31,0.99,1.0,1.0
44,32,0.98,1.0,1.0
45,0,0.21,0.13,0.11
45,1,0.21,0.07,0.11
45,2,0.21,0.07,0.06
45,3,0.21,0.14,0.06
45,4,0.21,0.09,0.1
45,5,0.21,0.13,0.11
45,6,0.21,0.13,0.11
45,7,0.21,0.1,0.06
45,8,0.21,0.13,0.11
45,9,0.21,0.06,0.11
45,10,0.21,0.13,0.11
45,11,0.21,0.13,0.11
45,12,0.21,0.13,0.12
45,13,0.21,0.07,0.11
45,14,0.21,0.12,0.12
45,15,0.21,0.08,0.09
45,16,0.32,0.04,0.1
45,17,0.42,0.25,0.26
45,18,0.56,0.37,0.66
45,19,0.84,0.69,1.0
45,20,0.96,0.8,1.0
45,21,0.98,0.95,1.0
45,22,0.98,0.97,1.0
45,23,0.98,0.98,1.0
45,24,0.97,1.0,1.0
45,25,0.97,0.97,1.0
45,26,0.98,0.99,1.0
45,27,0.99,1.0,1.0
45,28,1.0,1.0,1.0
45,29,0.99,1.0,1.0
45,30,1.0,1.0,1.0
45,31,1.0,1.0,1.0
45,32,1.0,1.0,1.0
46,0,0.28,0.14,0.07
46,1,0.28,0.14,0.07
46,2,0.28,0.14,0.07
46,3,0.28,0.14,0.08
46,4,0.28,0.18,0.14
46,5,0.28,0.03,0.09
46,6,0.28,0.14,0.07
46,7,0.23,0.14,0.09
46,8,0.28,0.13,0.07
46,9,0.28,0.12,0.13
46,10,0.28,0.11,0.12
46,11,0.32,0.17,0.11
46,12,0.28,0.17,0.06
46,13,0.35,0.12,0.13
46,14,0.28,0.04,0.13
46,15,0.41,0.13,0.1
46,16,0.38,0.18,0.12
46,17,0.53,0.35,0.22
46,18,0.64,0.39,0.62
46,19,0.93,0.81,1.0
46,20,0.92,0.8,1.0
46,21,0.93,0.97,1.0
46,22,0.92,0.97,1.0
46,23,0.93,0.98,1.0
46,24,0.93,0.98,1.0
46,25,0.94,0.99,1.0
46,26,0.93,0.99,1.0
46,27,0.96,1.0,1.0
46,28,0.97,1.0,1.0
46,29,0.97,1.0,1.0
46,30,0.99,1.0,1.0
46,31,1.0,1.0,1.0
46,32,0.98,1.0,1.0
