
--- Repetition 1/5 with Seed 42 ---
L0: AddAcc=0.1240, MultAcc=0.0140, SubAcc=0.0400
L1: AddAcc=0.1296, MultAcc=0.1240, SubAcc=0.1260
L2: AddAcc=0.1336, MultAcc=0.0920, SubAcc=0.1000
L3: AddAcc=0.1432, MultAcc=0.1280, SubAcc=0.0240
L4: AddAcc=0.2008, MultAcc=0.1420, SubAcc=0.0600
L5: AddAcc=0.2204, MultAcc=0.1920, SubAcc=0.0840
L6: AddAcc=0.2024, MultAcc=0.2000, SubAcc=0.0840
L7: AddAcc=0.1832, MultAcc=0.2080, SubAcc=0.0780
L8: AddAcc=0.2292, MultAcc=0.2160, SubAcc=0.1760
L9: AddAcc=0.1972, MultAcc=0.2020, SubAcc=0.0980
L10: AddAcc=0.2276, MultAcc=0.1980, SubAcc=0.0860
L11: AddAcc=0.2396, MultAcc=0.1840, SubAcc=0.1300
L12: AddAcc=0.2292, MultAcc=0.1560, SubAcc=0.1060
L13: AddAcc=0.2596, MultAcc=0.2040, SubAcc=0.0360
L14: AddAcc=0.2272, MultAcc=0.2160, SubAcc=0.0720
L15: AddAcc=0.2436, MultAcc=0.1760, SubAcc=0.0520
L16: AddAcc=0.2116, MultAcc=0.1860, SubAcc=0.1380
L17: AddAcc=0.2836, MultAcc=0.1360, SubAcc=0.0480
L18: AddAcc=0.2876, MultAcc=0.1380, SubAcc=0.0840
L19: AddAcc=0.2764, MultAcc=0.1500, SubAcc=0.0340
L20: AddAcc=0.3056, MultAcc=0.1500, SubAcc=0.0780
L21: AddAcc=0.2912, MultAcc=0.1600, SubAcc=0.0800
L22: AddAcc=0.3976, MultAcc=0.1220, SubAcc=0.0720
L23: AddAcc=0.5300, MultAcc=0.1720, SubAcc=0.1760
L24: AddAcc=0.7932, MultAcc=0.3080, SubAcc=0.5060
L25: AddAcc=0.8592, MultAcc=0.4520, SubAcc=0.5860
L26: AddAcc=0.8848, MultAcc=0.5700, SubAcc=0.6800
L27: AddAcc=0.8980, MultAcc=0.5460, SubAcc=0.6580
