sample_idx,first_top1_layer
0,27
1,26
2,27
3,28
4,28
5,28
6,27
7,30
8,27
9,27
10,27
11,27
12,27
13,27
14,27
15,27
16,28
17,28
18,28
19,27
20,28
21,27
22,27
23,28
24,27
25,26
26,27
27,28
28,28
29,28
30,27
31,28
32,28
33,28
34,27
35,28
36,28
37,28
38,28
39,28
40,28
41,27
42,27
43,28
44,28
45,26
46,28
47,26
48,28
49,26
50,27
51,28
52,28
53,27
54,27
55,28
56,27
57,28
58,27
59,28
60,27
61,28
62,27
63,28
64,27
65,28
66,28
67,29
68,26
69,28
70,28
71,27
72,27
73,27
74,28
75,28
76,28
77,27
78,27
79,28
80,27
81,27
82,27
83,27
84,27
85,27
86,28
87,27
88,26
89,28
90,28
91,28
92,27
93,27
94,28
95,27
96,27
97,28
98,29
99,27
100,27
101,28
102,27
103,28
104,28
105,28
106,28
107,27
108,28
109,27
110,28
111,28
112,27
113,28
114,28
115,28
116,28
117,27
118,28
119,27
120,27
121,27
122,27
123,28
124,28
125,27
126,27
127,28
128,28
129,27
130,28
131,28
132,26
133,27
134,27
135,28
136,28
137,27
138,28
139,27
140,27
141,27
142,27
143,28
144,28
145,28
146,28
147,27
148,27
149,27
150,28
151,27
152,28
153,28
154,27
155,28
156,26
157,28
158,27
159,28
160,27
161,27
162,27
163,27
164,28
165,28
166,28
167,27
168,27
169,27
170,28
171,28
172,27
173,28
174,27
175,28
176,28
177,27
178,27
179,27
180,28
181,27
182,28
183,27
184,27
185,27
186,28
187,27
188,26
189,28
190,28
191,27
192,27
193,28
194,28
195,27
196,28
197,28
198,28
199,28
200,28
201,28
202,27
203,27
204,27
205,28
206,28
207,27
208,27
209,28
210,28
211,28
212,28
213,27
214,28
215,28
216,27
217,27
218,28
219,27
220,27
221,27
222,28
223,27
224,28
225,28
226,28
227,28
228,27
229,27
230,28
231,28
232,27
233,27
234,28
235,27
236,27
237,27
238,28
239,28
240,27
241,26
242,28
243,27
244,27
245,28
246,27
247,28
248,27
249,27
250,27
251,27
252,28
253,27
254,27
255,27
256,27
257,27
258,27
259,27
260,28
261,28
262,29
263,27
