sample_idx,first_top1_layer
0,28
1,28
2,28
3,28
4,28
5,28
6,-1
7,28
8,-1
9,-1
10,28
11,28
12,28
13,28
14,-1
15,28
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,-1
26,-1
27,-1
28,-1
29,28
30,28
31,28
32,-1
33,28
34,28
35,28
36,28
37,28
38,-1
39,28
40,28
41,28
42,-1
43,-1
44,28
45,28
46,28
47,28
48,-1
49,-1
50,-1
51,28
52,28
53,28
54,-1
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,28
63,-1
64,-1
65,-1
66,28
67,-1
68,-1
69,28
70,28
71,28
72,-1
73,-1
74,28
75,-1
76,-1
77,28
78,-1
79,28
80,28
81,28
82,28
83,-1
84,28
85,28
86,28
87,28
88,-1
89,28
90,28
91,-1
92,-1
93,28
94,-1
95,-1
96,28
97,-1
98,28
99,28
100,28
101,-1
102,28
103,28
104,28
105,28
106,28
107,28
108,28
109,-1
110,28
111,28
112,28
113,28
114,-1
115,28
116,28
117,28
118,28
119,-1
120,-1
121,28
122,28
123,28
124,28
125,-1
126,28
127,28
128,28
129,28
130,28
131,28
132,28
133,28
134,28
135,28
136,28
137,28
138,28
139,28
140,28
141,28
142,28
143,28
144,28
145,28
146,28
147,-1
148,-1
149,28
150,28
151,28
152,28
153,28
154,28
155,28
156,-1
157,-1
158,28
159,28
160,28
161,-1
162,-1
163,-1
164,28
165,28
166,28
167,28
168,28
169,28
170,-1
171,-1
172,-1
173,28
174,28
175,28
176,28
177,28
178,28
179,-1
180,28
181,28
182,-1
183,28
184,28
185,-1
186,28
187,28
188,28
189,28
190,28
191,-1
192,28
193,-1
194,28
195,28
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,28
204,28
205,28
206,28
207,28
208,28
209,28
210,28
211,28
212,28
213,28
214,28
215,28
216,28
217,-1
218,28
219,-1
220,-1
221,28
222,28
223,28
224,28
225,28
226,28
227,28
228,-1
229,28
230,28
231,28
232,28
233,28
234,28
235,-1
236,28
237,28
238,28
239,28
240,-1
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,-1
250,28
251,28
252,28
253,-1
254,28
255,-1
256,28
257,28
258,-1
259,28
260,28
261,28
262,-1
263,28
264,28
265,28
266,28
267,28
268,28
269,28
270,-1
271,28
272,28
273,28
274,28
275,28
276,-1
277,28
278,28
279,28
280,28
281,-1
282,28
283,-1
284,28
285,28
286,28
287,-1
288,-1
289,28
290,28
291,-1
292,28
293,-1
294,28
295,-1
296,28
297,28
298,-1
299,28
300,28
301,-1
302,28
303,28
304,28
305,28
306,-1
307,-1
308,-1
309,28
310,28
311,-1
312,28
313,28
314,-1
315,28
316,28
317,28
318,28
319,28
320,28
321,28
322,28
323,28
324,28
325,28
326,-1
327,28
328,28
329,28
330,28
331,28
332,28
333,28
334,28
335,-1
336,28
337,28
338,-1
339,-1
340,28
341,28
342,28
343,28
344,28
345,28
346,28
347,28
348,28
349,28
350,28
351,28
352,-1
353,28
354,28
355,28
356,-1
357,28
358,28
359,28
