layer_idx,mean_count,std_err
0,0.000000,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,4.800000,0.819756
22,2.400000,0.456070
23,30.400000,0.963328
24,49.200000,1.453272
25,126.200000,7.073330
26,119.600000,3.715912
27,137.800000,3.433948
28,78.600000,3.041052
29,222.600000,3.737379
30,210.400000,6.648910
31,12.400000,0.829458
32,5.600000,0.920869
