sample_idx,first_top1_layer
0,29
1,30
2,24
3,22
4,25
5,26
6,30
7,25
8,25
9,29
10,26
11,30
12,29
13,29
14,26
15,25
16,28
17,24
18,27
19,27
20,29
21,23
22,29
23,28
24,26
25,29
26,30
27,30
28,27
29,31
30,30
31,29
32,25
33,29
34,29
35,28
36,26
37,27
38,25
39,28
40,29
41,30
42,28
43,28
44,23
45,24
46,27
47,29
48,28
49,30
50,28
51,31
52,26
53,29
54,25
55,30
56,27
57,27
58,29
59,26
60,30
61,26
62,27
63,29
64,29
65,28
66,25
67,29
68,28
69,31
70,30
71,28
72,29
73,25
74,29
75,29
76,29
77,30
78,30
79,27
80,25
81,30
82,26
83,27
84,25
85,25
86,25
87,30
88,27
89,27
90,24
91,30
92,29
93,26
94,30
95,27
96,29
97,29
98,25
99,25
100,26
101,27
102,28
103,25
104,27
105,27
106,30
107,30
108,27
109,30
110,24
111,29
112,26
113,27
114,23
115,31
116,29
117,30
118,30
119,27
120,30
121,26
122,25
123,30
124,30
125,31
126,25
127,25
128,29
129,30
130,30
131,23
132,25
133,30
134,29
135,28
136,32
137,29
138,25
139,29
140,30
141,30
142,28
143,29
144,30
145,26
146,28
147,29
148,26
149,27
150,27
151,24
152,30
153,27
154,27
155,29
156,30
157,25
158,25
159,26
160,29
161,29
162,28
163,23
164,27
165,29
166,28
167,29
168,29
169,25
170,25
171,29
172,30
173,30
174,27
175,29
176,29
177,27
178,27
179,24
180,30
181,30
182,24
183,27
184,25
185,30
186,23
187,30
188,29
189,27
190,26
191,25
192,26
193,24
194,27
195,30
196,29
197,26
198,27
199,29
200,26
201,25
202,29
203,28
204,30
205,25
206,30
207,27
208,30
209,25
210,29
211,27
212,27
213,25
214,30
215,30
216,27
217,28
218,29
219,29
220,26
221,27
222,30
223,27
224,26
225,28
226,27
227,23
228,28
229,30
230,26
231,31
232,29
233,27
234,30
235,25
236,30
237,29
238,28
239,30
240,26
241,23
242,26
243,26
244,29
245,28
246,28
247,24
248,26
249,26
250,29
251,28
252,27
253,30
254,24
255,30
256,30
257,27
258,30
259,24
260,29
261,30
262,25
263,27
264,25
265,30
266,25
267,30
268,30
269,28
270,29
271,27
272,30
273,30
274,28
275,30
276,29
277,27
278,27
279,26
280,30
281,23
282,29
283,29
284,29
285,30
286,29
287,27
288,27
289,30
290,30
291,28
292,28
293,25
294,27
295,26
296,30
297,26
298,27
299,27
300,24
301,24
302,25
303,25
304,29
305,29
306,30
307,28
308,24
309,28
310,28
311,30
312,30
313,26
314,30
315,30
316,25
317,30
318,30
319,26
320,26
321,25
322,27
323,28
324,25
325,28
326,27
327,26
328,30
329,30
330,27
331,25
332,23
333,27
334,24
335,29
336,26
337,25
338,30
339,29
340,26
341,26
342,32
343,21
344,25
345,30
346,24
347,28
348,27
349,30
350,25
351,23
352,25
353,26
354,28
355,29
356,25
357,31
358,29
359,23
360,26
361,28
362,28
363,25
364,28
365,24
366,26
367,30
368,30
369,30
370,27
371,26
372,30
373,29
374,25
375,24
376,24
377,26
378,29
379,26
380,30
381,27
382,25
383,26
384,23
385,30
386,21
387,26
388,23
389,25
390,28
391,29
392,26
393,29
394,26
395,29
396,30
397,29
398,29
399,27
400,23
401,27
402,30
403,26
404,25
405,29
406,26
407,30
408,29
409,30
410,27
411,29
412,30
413,30
414,25
415,24
416,29
417,29
418,27
419,26
420,24
421,25
422,26
423,29
424,27
425,30
426,28
427,26
428,30
429,30
430,30
431,25
432,30
433,30
434,26
435,29
436,25
437,25
438,29
439,30
440,29
441,25
442,29
443,27
444,25
445,30
446,29
447,24
448,30
449,25
450,27
451,27
452,26
453,29
454,27
455,27
456,25
457,29
458,29
459,30
460,25
461,25
462,26
463,29
464,29
465,27
466,25
467,29
468,30
469,25
470,26
471,26
472,30
473,30
474,30
475,27
476,24
477,29
478,30
479,27
480,29
481,29
482,26
483,29
484,27
485,30
486,30
487,30
488,31
489,26
490,29
491,24
492,26
493,24
494,27
495,27
496,27
497,30
498,25
499,26
500,26
501,28
502,30
503,25
504,24
505,25
506,25
507,23
508,29
509,29
510,29
511,28
512,29
513,25
514,30
515,29
516,23
517,29
518,27
519,30
520,30
521,30
522,26
523,27
524,30
525,30
526,29
527,29
528,26
529,30
530,30
531,29
532,29
533,30
534,30
535,27
536,29
537,29
538,25
539,27
540,31
541,28
542,25
543,26
544,26
545,27
546,30
547,25
548,25
549,30
550,27
551,29
552,26
553,29
554,24
555,27
556,27
557,25
558,29
559,29
560,30
561,24
562,29
563,29
564,28
565,27
566,25
567,25
568,29
569,25
570,25
571,25
572,30
573,29
574,26
575,29
576,26
577,26
578,25
579,28
580,30
581,29
582,30
583,28
584,27
585,27
586,25
587,26
588,27
589,30
590,26
591,27
592,27
593,30
594,27
595,29
596,29
597,28
598,29
599,28
600,27
601,23
602,26
603,29
604,26
